State,Literacy,SchoolDensity,Population,TotalSchools,Roads
"Andaman & Nicobar Island",86.27,0.927,380,410,353
"Andhra Pradesh",67.66,1.401,84666,60435,56961
"Arunachal Pradesh",66.95,0.345,1383,4012,2646
"Assam",73.18,0.473,31169,65894,54335
"Bihar",63.82,1.295,103805,80166,69162
"Chhattisgarh",71.04,0.504,25540,50705,44893
"Puducherry",86.55,0.504,1244,719,718
"Punjab",76.68,0.963,27704,28776,28650
"Rajasthan",67.06,0.636,68621,107931,84991
"Sikkim",82.20,0.475,608,1279,1079
"Tamil Nadu",80.30,1.254,72139,57539,56547
"Chandigarh",86.54,5.429,1055,201,201
"Telangana",66.46,0.009,352,40818,38315
"Tripura",87.75,0.758,3671,4844,3898
"Uttar Pradesh",69.72,0.812,199581,245919,236294
"Uttarakhand",79.63,0.428,10117,23660,18214
"West Bengal",77.08,1.036,99134,95723,84691
"Odisha",73.45,0.608,41947,68978,62223
"Goa",87.40,0.997,1458,1462,1433
"Gujarat",79.31,1.371,60384,44051,42617
"Haryana",76.64,1.139,25353,22268,21824
"Himachal Pradesh",83.78,0.380,6857,18024,14929
"Jammu & Kashmir",68.74,0.439,12549,28578,22634
"Jharkhand",67.63,0.695,32966,47441,25306
"Karnataka",75.60,0.990,61131,61739,56984
"Kerala",93.91,2.029,33388,16458,15992
"Lakshadweep",92.28,1.561,64,41,33
"Madhya Pradesh",70.63,0.509,72598,142587,127889
"Maharashtra",82.91,1.144,112373,98213,95739
"Manipur",79.85,0.560,2722,4865,4084
"Meghalaya",75.48,0.223,2964,13277,7551
"Mizoram",91.58,0.355,1091,3072,2898
"Nagaland",80.11,0.708,1981,2799,2298
