State,Literacy,SC,ST
Andaman & Nicobar Island,86.27,8,210217
Andhra Pradesh,67.66,708073,315815
Arunachal Pradesh,66.95,1816,370
Assam,73.18,306473,143
Bihar,63.82,3284115,31711
Chandigarh,86.54,7758,0
Chhattisgarh,71.04,410536,7375
Goa,87.40,1583,22380
Gujarat,79.31,377963,164542
Haryana,76.64,554148,206734
Himachal Pradesh,83.78,157139,151464
Jammu & Kashmir,68.74,99401,142002
Jharkhand,67.63,683852,144288
Karnataka,75.60,1045434,500574
Kerala,93.91,215781,513990
Lakshadweep,92.28,1,612716
Madhya Pradesh,70.63,1373664,1317813
Maharashtra,82.91,1296786,1340620
Manipur,79.85,15135,920346
Meghalaya,75.48,5353,2043800
Mizoram,91.58,668,1029252
Nagaland,80.11,5597,1475
Odisha,73.45,760291,18707
Punjab,76.68,927440,279375
Rajasthan,67.06,1678773,427903
Sikkim,82.20,4864,9200
Tamil Nadu,80.30,1391471,4335
Telangana,66.46,525711,44750
Tripura,87.75,66104,103769
Uttar Pradesh,69.72,7213492,0
Uttarakhand,79.63,266982,2952
West Bengal,77.08,2142088,398938
